drug_name,medical_condition,medical_condition_description,rating,store_latitude,store_longitude,availability,price,store_name,criteria
Augmentin,Bacterial Infection,A combination antibiotic used to treat a wide variety of bacterial infections.,4.2,12.9260174804538,77.51873873639585,True,225.54,MedPlus Rajarajeshwari Nagar,Common
Pan D,Acidity / GERD,"A proton pump inhibitor and prokinetic agent, used to treat gastroesophageal reflux disease (GERD).",4.7,12.9260174804538,77.51873873639585,True,197.36,MedPlus Rajarajeshwari Nagar,Common
Diclofenac,Pain / Inflammation,A nonsteroidal anti-inflammatory drug (NSAID) used to treat pain and inflammatory conditions.,4.1,12.9260174804538,77.51873873639585,True,87.74,MedPlus Rajarajeshwari Nagar,Common
Omeprozole,Acidity / GERD,A proton pump inhibitor (PPI) that reduces the amount of acid produced in the stomach.,4.0,12.9260174804538,77.51873873639585,True,55.49,MedPlus Rajarajeshwari Nagar,Common
Betaloc,Hypertension,A beta-blocker used to treat high blood pressure (hypertension) and angina.,3.9,12.9260174804538,77.51873873639585,True,92.67,MedPlus Rajarajeshwari Nagar,Common
Enzoflam,Pain / Swelling,A combination drug with enzymes and NSAIDs to relieve swelling (edema) and pain.,3.9,12.9260174804538,77.51873873639585,True,131.38,MedPlus Rajarajeshwari Nagar,Alternate
Hexigel gum paint,Gum Infection,"An antiseptic gel (chlorhexidine) to treat gingivitis, mouth ulcers, and oral infections.",4.0,12.9260174804538,77.51873873639585,True,97.16,MedPlus Rajarajeshwari Nagar,Alternate
Ultrafen-plus,Pain / Fever,"A combination painkiller, often containing an NSAID and paracetamol, for moderate pain.",5.0,12.9260174804538,77.51873873639585,True,71.17,MedPlus Rajarajeshwari Nagar,Alternate
Relentus,Cough / Cold,"A cough syrup or tablet formulation for relieving cough, cold, and allergy symptoms.",4.4,12.9260174804538,77.51873873639585,True,107.89,MedPlus Rajarajeshwari Nagar,Alternate
Progen,Nutritional Supplement,Often a brand name for progesterone or a protein supplement.,4.3,12.9260174804538,77.51873873639585,False,250.21,MedPlus Rajarajeshwari Nagar,Alternate
Ultracal-D,Calcium Deficiency,"A supplement containing Calcium and Vitamin D3, used to treat or prevent bone loss.",4.3,12.9260174804538,77.51873873639585,True,182.01,MedPlus Rajarajeshwari Nagar,Alternate
Cartilix,Joint Health,"A supplement, often containing glucosamine, aimed at supporting cartilage and joint health.",4.0,12.9260174804538,77.51873873639585,False,452.19,MedPlus Rajarajeshwari Nagar,Alternate
Dorzolamidum,Glaucoma,A carbonic anhydrase inhibitor used as eye drops to lower pressure inside the eye.,5.0,12.9260174804538,77.51873873639585,True,308.7,MedPlus Rajarajeshwari Nagar,Rare
Cimetidine,Acidity / Ulcer,An H2 receptor blocker that reduces stomach acid. Less common now.,4.8,12.9260174804538,77.51873873639585,True,27.6,MedPlus Rajarajeshwari Nagar,Rare
Oxprelol,Hypertension,"A non-selective beta blocker, less commonly used now, for hypertension.",4.8,12.9260174804538,77.51873873639585,False,117.25,MedPlus Rajarajeshwari Nagar,Rare
Paracetamol,Fever / Pain,Commonly used to treat fever and mild to moderate pain.,3.9,12.9260174804538,77.51873873639585,True,28.85,MedPlus Rajarajeshwari Nagar,Common
Atorvastatin,High Cholesterol,A statin used to lower cholesterol and triglycerides.,3.9,12.9260174804538,77.51873873639585,True,147.02,MedPlus Rajarajeshwari Nagar,Common
Metformin,Diabetes Type 2,An oral medication that helps control blood sugar levels.,4.6,12.9260174804538,77.51873873639585,True,47.28,MedPlus Rajarajeshwari Nagar,Common
Amlodipine,Hypertension,A calcium channel blocker used to treat high blood pressure.,4.9,12.9260174804538,77.51873873639585,True,57.4,MedPlus Rajarajeshwari Nagar,Common
Cetirizine,Allergy,An antihistamine used to relieve allergy symptoms.,4.9,12.9260174804538,77.51873873639585,True,34.9,MedPlus Rajarajeshwari Nagar,Common
Azithromycin,Bacterial Infection,An antibiotic used to treat a variety of bacterial infections.,4.2,12.9260174804538,77.51873873639585,True,115.14,MedPlus Rajarajeshwari Nagar,Common
Montelukast,Asthma / Allergy,Used to prevent wheezing and difficulty breathing caused by asthma.,4.2,12.9260174804538,77.51873873639585,True,175.11,MedPlus Rajarajeshwari Nagar,Common
Losartan,Hypertension,An ARB used to treat high blood pressure.,4.5,12.9260174804538,77.51873873639585,False,90.24,MedPlus Rajarajeshwari Nagar,Common
Sertraline,Depression / Anxiety,An SSRI antidepressant used to treat depression and anxiety disorders.,4.2,12.9260174804538,77.51873873639585,True,109.22,MedPlus Rajarajeshwari Nagar,Common
Esomeprazole,Acidity / GERD,A proton pump inhibitor (PPI) that reduces stomach acid.,4.9,12.9260174804538,77.51873873639585,True,75.62,MedPlus Rajarajeshwari Nagar,Common
Clopidogrel,Blood Clot Prevention,An antiplatelet medicine used to prevent blood clots.,4.4,12.9260174804538,77.51873873639585,True,103.45,MedPlus Rajarajeshwari Nagar,Common
Levocetirizine,Allergy,"A newer antihistamine, considered non-drowsy.",4.1,12.9260174804538,77.51873873639585,True,51.33,MedPlus Rajarajeshwari Nagar,Alternate
Domperidone,Nausea / Vomiting,A prokinetic agent used to treat nausea and vomiting.,4.5,12.9260174804538,77.51873873639585,True,39.02,MedPlus Rajarajeshwari Nagar,Alternate
Ibuprofen,Pain / Inflammation,"A common NSAID used for pain relief, fever, and inflammation.",4.6,12.9260174804538,77.51873873639585,True,22.18,MedPlus Rajarajeshwari Nagar,Alternate
Pregabalin,Neuropathic Pain,"Used to treat epilepsy, anxiety, and neuropathic (nerve) pain.",4.2,12.9260174804538,77.51873873639585,True,209.31,MedPlus Rajarajeshwari Nagar,Alternate
Tamsulosin,Benign Prostatic Hyperplasia,An alpha-blocker used by men to treat the symptoms of an enlarged prostate (BPH).,4.7,12.9260174804538,77.51873873639585,True,242.14,MedPlus Rajarajeshwari Nagar,Alternate
Fexofenadine,Allergy,A non-drowsy antihistamine for seasonal allergies.,4.5,12.9260174804538,77.51873873639585,False,90.74,MedPlus Rajarajeshwari Nagar,Alternate
